c:\users\verd_he\tools\campbellviewer\examples\data\bladed\iea_15mw\results [Run 'lin1']
Wind speed [m/s]	Nominal wind speed at hub position  [m/s]	Nominal pitch angle  [deg]	Rotor speed  [rpm]	Measured shaft power  [kW]	Rotating hub Fx  [kN]	
0	0	0	5	0	183.989
1	1	0	5	0	116.842
2	2	0	5	0	223.27
3	3	0	5	0	354.936
4	4	0	5	534.008	505.795
5	5	0	5	1482.55	671.605
6	6	0	5	2840.44	848.205
7	7	0	5	4543.89	1022.55
8	8	0	5.67817	6748.64	1308.16
9	9	0	6.37187	9536.55	1620.32
10	10	0	7.05249	12930.6	1948.93
11	11	1.65407	7.557	15510.8	1974.74
12	12	4.38932	7.557	15510.8	1673.68
13	13	6.32297	7.557	15510.8	1493.98
14	14	7.94467	7.557	15510.8	1363.98
15	15	9.3909	7.557	15510.8	1262.76
16	16	10.7237	7.557	15510.8	1180.55
17	17	11.9742	7.557	15510.8	1112.24
18	18	13.1628	7.557	15510.8	1054.42
19	19	14.3025	7.557	15510.8	1004.8
20	20	15.4027	7.557	15510.8	961.762
21	21	16.4693	7.557	15510.8	924.078
22	22	17.5073	7.557	15510.8	890.824
23	23	18.5206	7.557	15510.8	861.397
24	24	19.5106	7.557	15510.8	835.22
25	25	20.4805	7.557	15510.8	811.807
